Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,61 (30.5%),70 (35.0%),69 (34.5%),200
MCTS,OSLA,179 (89.5%),3 (1.5%),18 (9.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,2 (1.0%),188 (94.0%),10 (5.0%),200
OSLA,OSLA,57 (28.5%),110 (55.0%),33 (16.5%),200
OSLA,Rand,196 (98.0%),4 (2.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,3 (1.5%),197 (98.5%),0 (0.0%),200
Rand,Rand,86 (43.0%),114 (57.0%),0 (0.0%),200
Total,,784 (43.6%),886 (49.2%),130 (7.2%),1800
