Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,76 (38.0%),82 (41.0%),42 (21.0%),200
MCTS,OSLA,175 (87.5%),6 (3.0%),19 (9.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,12 (6.0%),172 (86.0%),16 (8.0%),200
OSLA,OSLA,63 (31.5%),89 (44.5%),48 (24.0%),200
OSLA,Rand,199 (99.5%),0 (0.0%),1 (0.5%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,102 (51.0%),98 (49.0%),0 (0.0%),200
Total,,827 (45.9%),847 (47.1%),126 (7.0%),1800
