Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,120 (60.0%),45 (22.5%),35 (17.5%),200
MCTS,OSLA,187 (93.5%),4 (2.0%),9 (4.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,23 (11.5%),147 (73.5%),30 (15.0%),200
OSLA,OSLA,101 (50.5%),69 (34.5%),30 (15.0%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,1 (0.5%),199 (99.5%),0 (0.0%),200
Rand,Rand,126 (63.0%),74 (37.0%),0 (0.0%),200
Total,,958 (53.2%),738 (41.0%),104 (5.8%),1800
