Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,65 (32.5%),68 (34.0%),67 (33.5%),200
MCTS,OSLA,93 (46.5%),70 (35.0%),37 (18.5%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,74 (37.0%),87 (43.5%),39 (19.5%),200
OSLA,OSLA,88 (44.0%),68 (34.0%),44 (22.0%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),199 (99.5%),1 (0.5%),200
Rand,Rand,97 (48.5%),103 (51.5%),0 (0.0%),200
Total,,817 (45.4%),795 (44.2%),188 (10.4%),1800
