Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,20 (18.0%),33 (29.7%),58 (52.3%),111
MCTS,OSLA,103 (92.8%),1 (0.9%),7 (6.3%),111
MCTS,Rand,111 (100.0%),0 (0.0%),0 (0.0%),111
OSLA,MCTS,1 (0.9%),95 (85.6%),15 (13.5%),111
OSLA,OSLA,23 (20.7%),76 (68.5%),12 (10.8%),111
OSLA,Rand,110 (99.1%),1 (0.9%),0 (0.0%),111
Rand,MCTS,0 (0.0%),111 (100.0%),0 (0.0%),111
Rand,OSLA,0 (0.0%),111 (100.0%),0 (0.0%),111
Rand,Rand,54 (48.6%),57 (51.4%),0 (0.0%),111
Total,,422 (42.2%),485 (48.5%),92 (9.2%),999 (9 matchups)
