Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,20 (18.02%),33 (29.73%),58 (52.25%),111
MCTS,OSLA,103 (92.79%),1 (0.90%),7 (6.31%),111
MCTS,Rand,111 (100.00%),0 (0.00%),0 (0.00%),111
OSLA,MCTS,1 (0.90%),95 (85.59%),15 (13.51%),111
OSLA,OSLA,23 (20.72%),76 (68.47%),12 (10.81%),111
OSLA,Rand,110 (99.10%),1 (0.90%),0 (0.00%),111
Rand,MCTS,0 (0.00%),111 (100.00%),0 (0.00%),111
Rand,OSLA,0 (0.00%),111 (100.00%),0 (0.00%),111
Rand,Rand,54 (48.65%),57 (51.35%),0 (0.00%),111
Total,,422 (42.24%),485 (48.55%),92 (9.21%),999 (9 matchups)
