Player 1,Player 2,Wins Player 1,Wins Player 2,Draws,Total Games
MCTS,MCTS,62 (31.0%),82 (41.0%),56 (28.0%),200
MCTS,OSLA,166 (83.0%),18 (9.0%),16 (8.0%),200
MCTS,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
OSLA,MCTS,9 (4.5%),173 (86.5%),18 (9.0%),200
OSLA,OSLA,96 (48.0%),71 (35.5%),33 (16.5%),200
OSLA,Rand,200 (100.0%),0 (0.0%),0 (0.0%),200
Rand,MCTS,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,OSLA,0 (0.0%),200 (100.0%),0 (0.0%),200
Rand,Rand,91 (45.5%),109 (54.5%),0 (0.0%),200
Total,,824 (45.8%),853 (47.4%),123 (6.8%),1800
