GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerType-1,PlayerType-0
1634390178,Checkers,0,GAME_OVER,31,30,2,2,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1980696938,Checkers,0,GAME_OVER,45,44,2,3,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1433263383,Checkers,0,GAME_OVER,101,100,2,4,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-906895919,Checkers,0,GAME_OVER,113,112,2,5,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-304834404,Checkers,0,GAME_OVER,32,31,2,6,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1177143619,Checkers,0,GAME_OVER,71,70,2,7,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1235789652,Checkers,0,GAME_OVER,54,53,2,8,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-943454790,Checkers,0,GAME_OVER,49,48,2,9,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-61265526,Checkers,0,GAME_OVER,27,26,2,10,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1569090718,Checkers,0,GAME_OVER,34,33,2,11,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1018937342,Checkers,0,GAME_OVER,99,98,2,12,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
49071466,Checkers,0,GAME_OVER,72,71,2,13,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1459259571,Checkers,0,GAME_OVER,32,31,2,14,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
18458152,Checkers,0,GAME_OVER,59,58,2,15,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
871169150,Checkers,0,GAME_OVER,31,30,2,16,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1997601845,Checkers,0,GAME_OVER,98,97,2,17,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
460294138,Checkers,0,GAME_OVER,35,34,2,18,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1348459206,Checkers,0,GAME_OVER,107,106,2,19,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1259708220,Checkers,0,GAME_OVER,55,54,2,20,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1348238929,Checkers,0,GAME_OVER,111,110,2,21,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
1500200122,Checkers,0,GAME_OVER,66,65,2,22,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1037770008,Checkers,0,GAME_OVER,47,46,2,23,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
393651539,Checkers,0,GAME_OVER,67,66,2,24,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-916561366,Checkers,0,GAME_OVER,101,100,2,25,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-557300495,Checkers,0,GAME_OVER,68,67,2,26,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-520907637,Checkers,0,GAME_OVER,114,113,2,27,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
754346046,Checkers,0,GAME_OVER,29,28,2,28,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
-1466841933,Checkers,0,GAME_OVER,44,43,2,29,MCTS_CheckersHeuristic,MCTS_CheckersHeuristic
