GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player-1 rank,PlayerName-0,Player-1,Player-0,Player-0 rank,PlayerName-1
-760013051,Checkers,0,GAME_OVER,106,105,2,2,1,MCTS_v0,1,1,1,MCTS_v0
165728500,Checkers,0,GAME_OVER,46,45,2,3,2,MCTS_v0,2,1,1,MCTS_v0
1388765151,Checkers,0,GAME_OVER,62,61,2,4,1,MCTS_v0,1,2,2,MCTS_v0
1718951435,Checkers,0,GAME_OVER,162,161,2,5,1,MCTS_v0,1,1,1,MCTS_v0
-1064791289,Checkers,0,GAME_OVER,48,47,2,6,1,MCTS_v0,1,2,2,MCTS_v0
-1636257134,Checkers,0,GAME_OVER,56,55,2,7,1,MCTS_v0,1,2,2,MCTS_v0
1634360935,Checkers,0,GAME_OVER,146,145,2,8,1,MCTS_v0,1,1,1,MCTS_v0
-1395887239,Checkers,0,GAME_OVER,106,105,2,9,2,MCTS_v0,2,1,1,MCTS_v0
647952441,Checkers,0,GAME_OVER,49,48,2,10,1,MCTS_v0,1,2,2,MCTS_v0
187093421,Checkers,0,GAME_OVER,108,107,2,11,2,MCTS_v0,2,1,1,MCTS_v0
-373241072,Checkers,0,GAME_OVER,147,146,2,12,1,MCTS_v0,1,1,1,MCTS_v0
521671885,Checkers,0,GAME_OVER,57,56,2,13,1,MCTS_v0,1,2,2,MCTS_v0
-2052836645,Checkers,0,GAME_OVER,80,79,2,14,1,MCTS_v0,1,2,2,MCTS_v0
291765727,Checkers,0,GAME_OVER,100,99,2,15,1,MCTS_v0,1,2,2,MCTS_v0
1563472397,Checkers,0,GAME_OVER,63,62,2,16,2,MCTS_v0,2,1,1,MCTS_v0
497858075,Checkers,0,GAME_OVER,83,82,2,17,1,MCTS_v0,1,2,2,MCTS_v0
-1993918902,Checkers,0,GAME_OVER,136,135,2,18,1,MCTS_v0,1,1,1,MCTS_v0
290353407,Checkers,0,GAME_OVER,53,52,2,19,1,MCTS_v0,1,2,2,MCTS_v0
-417393078,Checkers,0,GAME_OVER,48,47,2,20,1,MCTS_v0,1,2,2,MCTS_v0
269872713,Checkers,0,GAME_OVER,65,64,2,21,1,MCTS_v0,1,2,2,MCTS_v0
-1852772662,Checkers,0,GAME_OVER,53,52,2,22,1,MCTS_v0,1,2,2,MCTS_v0
-480546926,Checkers,0,GAME_OVER,47,46,2,23,2,MCTS_v0,2,1,1,MCTS_v0
917043920,Checkers,0,GAME_OVER,76,75,2,24,2,MCTS_v0,2,1,1,MCTS_v0
