GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,PlayerName-1
141046815,Checkers,0,GAME_OVER,76,75,2,2,MCTS_v0,-1.0,1.0,MCTS_v0
1529192250,Checkers,0,GAME_OVER,78,77,2,3,MCTS_v0,1.0,-1.0,MCTS_v0
-1245133560,Checkers,0,GAME_OVER,51,50,2,4,MCTS_v0,1.0,-1.0,MCTS_v0
1583536197,Checkers,0,GAME_OVER,146,145,2,5,MCTS_v0,0.0,0.0,MCTS_v0
1460285864,Checkers,0,GAME_OVER,53,52,2,6,MCTS_v0,1.0,-1.0,MCTS_v0
-1299888252,Checkers,0,GAME_OVER,56,55,2,7,MCTS_v0,1.0,-1.0,MCTS_v0
-2014252420,Checkers,0,GAME_OVER,50,49,2,8,MCTS_v0,1.0,-1.0,MCTS_v0
260109276,Checkers,0,GAME_OVER,108,107,2,9,MCTS_v0,0.0,0.0,MCTS_v0
1682508500,Checkers,0,GAME_OVER,69,68,2,10,MCTS_v0,1.0,-1.0,MCTS_v0
-1693876026,Checkers,0,GAME_OVER,41,40,2,11,MCTS_v0,-1.0,1.0,MCTS_v0
-1812849886,Checkers,0,GAME_OVER,52,51,2,12,MCTS_v0,1.0,-1.0,MCTS_v0
-1650375663,Checkers,0,GAME_OVER,57,56,2,13,MCTS_v0,1.0,-1.0,MCTS_v0
1372985835,Checkers,0,GAME_OVER,85,84,2,14,MCTS_v0,-1.0,1.0,MCTS_v0
-1644275095,Checkers,0,GAME_OVER,57,56,2,15,MCTS_v0,1.0,-1.0,MCTS_v0
1719698715,Checkers,0,GAME_OVER,56,55,2,16,MCTS_v0,-1.0,1.0,MCTS_v0
-150356753,Checkers,0,GAME_OVER,74,73,2,17,MCTS_v0,1.0,-1.0,MCTS_v0
2115692229,Checkers,0,GAME_OVER,44,43,2,18,MCTS_v0,1.0,-1.0,MCTS_v0
-814560721,Checkers,0,GAME_OVER,68,67,2,19,MCTS_v0,1.0,-1.0,MCTS_v0
-585444453,Checkers,0,GAME_OVER,60,59,2,20,MCTS_v0,1.0,-1.0,MCTS_v0
-16236752,Checkers,0,GAME_OVER,122,121,2,21,MCTS_v0,0.0,0.0,MCTS_v0
-1034164578,Checkers,0,GAME_OVER,154,153,2,22,MCTS_v0,0.0,0.0,MCTS_v0
718066038,Checkers,0,GAME_OVER,138,137,2,23,MCTS_v0,0.0,0.0,MCTS_v0
-45548325,Checkers,0,GAME_OVER,57,56,2,24,MCTS_v0,1.0,-1.0,MCTS_v0
430606631,Checkers,0,GAME_OVER,113,112,2,25,MCTS_v0,0.0,0.0,MCTS_v0
-56171220,Checkers,0,GAME_OVER,115,114,2,26,MCTS_v0,0.0,0.0,MCTS_v0
-1239141700,Checkers,0,GAME_OVER,64,63,2,27,MCTS_v0,1.0,-1.0,MCTS_v0
1325411156,Checkers,0,GAME_OVER,54,53,2,28,MCTS_v0,1.0,-1.0,MCTS_v0
411685344,Checkers,0,GAME_OVER,104,103,2,29,MCTS_v0,0.0,0.0,MCTS_v0
219572979,Checkers,0,GAME_OVER,32,31,2,30,MCTS_v0,1.0,-1.0,MCTS_v0
324303717,Checkers,0,GAME_OVER,123,122,2,31,MCTS_v0,0.0,0.0,MCTS_v0
-825819607,Checkers,0,GAME_OVER,132,131,2,32,MCTS_v0,0.0,0.0,MCTS_v0
-384667004,Checkers,0,GAME_OVER,78,77,2,33,MCTS_v0,1.0,-1.0,MCTS_v0
1286911191,Checkers,0,GAME_OVER,62,61,2,34,MCTS_v0,-1.0,1.0,MCTS_v0
-1652595268,Checkers,0,GAME_OVER,82,81,2,35,MCTS_v0,-1.0,1.0,MCTS_v0
1979243748,Checkers,0,GAME_OVER,100,99,2,36,MCTS_v0,-1.0,1.0,MCTS_v0
1481785858,Checkers,0,GAME_OVER,57,56,2,37,MCTS_v0,-1.0,1.0,MCTS_v0
98439411,Checkers,0,GAME_OVER,79,78,2,38,MCTS_v0,-1.0,1.0,MCTS_v0
1975834423,Checkers,0,GAME_OVER,63,62,2,39,MCTS_v0,1.0,-1.0,MCTS_v0
1379816037,Checkers,0,GAME_OVER,55,54,2,40,MCTS_v0,-1.0,1.0,MCTS_v0
-1545697556,Checkers,0,GAME_OVER,65,64,2,41,MCTS_v0,-1.0,1.0,MCTS_v0
1940632744,Checkers,0,GAME_OVER,121,120,2,42,MCTS_v0,0.0,0.0,MCTS_v0
-226099458,Checkers,0,GAME_OVER,60,59,2,43,MCTS_v0,1.0,-1.0,MCTS_v0
-868506858,Checkers,0,GAME_OVER,61,60,2,44,MCTS_v0,-1.0,1.0,MCTS_v0
-49503330,Checkers,0,GAME_OVER,62,61,2,45,MCTS_v0,1.0,-1.0,MCTS_v0
1961713655,Checkers,0,GAME_OVER,55,54,2,46,MCTS_v0,1.0,-1.0,MCTS_v0
-2049091410,Checkers,0,GAME_OVER,115,114,2,47,MCTS_v0,0.0,0.0,MCTS_v0
534123107,Checkers,0,GAME_OVER,68,67,2,48,MCTS_v0,-1.0,1.0,MCTS_v0
-1715019612,Checkers,0,GAME_OVER,59,58,2,49,MCTS_v0,-1.0,1.0,MCTS_v0
818504211,Checkers,0,GAME_OVER,57,56,2,50,MCTS_v0,1.0,-1.0,MCTS_v0
709728089,Checkers,0,GAME_OVER,49,48,2,51,MCTS_v0,-1.0,1.0,MCTS_v0
-377255063,Checkers,0,GAME_OVER,66,65,2,52,MCTS_v0,-1.0,1.0,MCTS_v0
251197789,Checkers,0,GAME_OVER,127,126,2,53,MCTS_v0,0.0,0.0,MCTS_v0
-58731727,Checkers,0,GAME_OVER,102,101,2,54,MCTS_v0,1.0,-1.0,MCTS_v0
-1002062639,Checkers,0,GAME_OVER,62,61,2,55,MCTS_v0,-1.0,1.0,MCTS_v0
-1021337363,Checkers,0,GAME_OVER,59,58,2,56,MCTS_v0,1.0,-1.0,MCTS_v0
36064987,Checkers,0,GAME_OVER,61,60,2,57,MCTS_v0,-1.0,1.0,MCTS_v0
-1941497949,Checkers,0,GAME_OVER,57,56,2,58,MCTS_v0,-1.0,1.0,MCTS_v0
1010360613,Checkers,0,GAME_OVER,59,58,2,59,MCTS_v0,1.0,-1.0,MCTS_v0
586946703,Checkers,0,GAME_OVER,132,131,2,60,MCTS_v0,0.0,0.0,MCTS_v0
1819665677,Checkers,0,GAME_OVER,66,65,2,61,MCTS_v0,1.0,-1.0,MCTS_v0
-637206492,Checkers,0,GAME_OVER,53,52,2,62,MCTS_v0,1.0,-1.0,MCTS_v0
-1276350868,Checkers,0,GAME_OVER,92,91,2,63,MCTS_v0,1.0,-1.0,MCTS_v0
1754428734,Checkers,0,GAME_OVER,105,104,2,64,MCTS_v0,0.0,0.0,MCTS_v0
-1080127968,Checkers,0,GAME_OVER,149,148,2,65,MCTS_v0,0.0,0.0,MCTS_v0
-989258891,Checkers,0,GAME_OVER,53,52,2,66,MCTS_v0,-1.0,1.0,MCTS_v0
2055722176,Checkers,0,GAME_OVER,111,110,2,67,MCTS_v0,0.0,0.0,MCTS_v0
1319056622,Checkers,0,GAME_OVER,125,124,2,68,MCTS_v0,0.0,0.0,MCTS_v0
-287315935,Checkers,0,GAME_OVER,122,121,2,69,MCTS_v0,0.0,0.0,MCTS_v0
-1558049496,Checkers,0,GAME_OVER,119,118,2,70,MCTS_v0,0.0,0.0,MCTS_v0
-501417331,Checkers,0,GAME_OVER,60,59,2,71,MCTS_v0,-1.0,1.0,MCTS_v0
-507071096,Checkers,0,GAME_OVER,50,49,2,72,MCTS_v0,1.0,-1.0,MCTS_v0
1104875750,Checkers,0,GAME_OVER,51,50,2,73,MCTS_v0,1.0,-1.0,MCTS_v0
1186004411,Checkers,0,GAME_OVER,133,132,2,74,MCTS_v0,0.0,0.0,MCTS_v0
-149885685,Checkers,0,GAME_OVER,58,57,2,75,MCTS_v0,1.0,-1.0,MCTS_v0
-663816926,Checkers,0,GAME_OVER,183,182,2,76,MCTS_v0,0.0,0.0,MCTS_v0
-1494731730,Checkers,0,GAME_OVER,58,57,2,77,MCTS_v0,-1.0,1.0,MCTS_v0
737900519,Checkers,0,GAME_OVER,79,78,2,78,MCTS_v0,-1.0,1.0,MCTS_v0
977310984,Checkers,0,GAME_OVER,53,52,2,79,MCTS_v0,1.0,-1.0,MCTS_v0
1803067759,Checkers,0,GAME_OVER,76,75,2,80,MCTS_v0,-1.0,1.0,MCTS_v0
347363335,Checkers,0,GAME_OVER,55,54,2,81,MCTS_v0,1.0,-1.0,MCTS_v0
-215136454,Checkers,0,GAME_OVER,62,61,2,82,MCTS_v0,1.0,-1.0,MCTS_v0
-902466581,Checkers,0,GAME_OVER,167,166,2,83,MCTS_v0,1.0,-1.0,MCTS_v0
-80401799,Checkers,0,GAME_OVER,117,116,2,84,MCTS_v0,-1.0,1.0,MCTS_v0
834997104,Checkers,0,GAME_OVER,119,118,2,85,MCTS_v0,0.0,0.0,MCTS_v0
964766691,Checkers,0,GAME_OVER,55,54,2,86,MCTS_v0,1.0,-1.0,MCTS_v0
175811828,Checkers,0,GAME_OVER,56,55,2,87,MCTS_v0,-1.0,1.0,MCTS_v0
933153933,Checkers,0,GAME_OVER,107,106,2,88,MCTS_v0,1.0,-1.0,MCTS_v0
-1841964226,Checkers,0,GAME_OVER,46,45,2,89,MCTS_v0,1.0,-1.0,MCTS_v0
-1809811508,Checkers,0,GAME_OVER,57,56,2,90,MCTS_v0,-1.0,1.0,MCTS_v0
-2107449656,Checkers,0,GAME_OVER,53,52,2,91,MCTS_v0,-1.0,1.0,MCTS_v0
-1179466379,Checkers,0,GAME_OVER,68,67,2,92,MCTS_v0,1.0,-1.0,MCTS_v0
853389635,Checkers,0,GAME_OVER,59,58,2,93,MCTS_v0,-1.0,1.0,MCTS_v0
2142693614,Checkers,0,GAME_OVER,56,55,2,94,MCTS_v0,-1.0,1.0,MCTS_v0
-762080980,Checkers,0,GAME_OVER,70,69,2,95,MCTS_v0,-1.0,1.0,MCTS_v0
-48420628,Checkers,0,GAME_OVER,111,110,2,96,MCTS_v0,0.0,0.0,MCTS_v0
-1689747029,Checkers,0,GAME_OVER,111,110,2,97,MCTS_v0,0.0,0.0,MCTS_v0
-1179036449,Checkers,0,GAME_OVER,47,46,2,98,MCTS_v0,-1.0,1.0,MCTS_v0
-1162659056,Checkers,0,GAME_OVER,53,52,2,99,MCTS_v0,-1.0,1.0,MCTS_v0
677972046,Checkers,0,GAME_OVER,50,49,2,100,MCTS_v0,-1.0,1.0,MCTS_v0
265546409,Checkers,0,GAME_OVER,48,47,2,101,MCTS_v0,1.0,-1.0,MCTS_v0
-1322059345,Checkers,0,GAME_OVER,104,103,2,102,MCTS_v0,-1.0,1.0,MCTS_v0
-219994929,Checkers,0,GAME_OVER,105,104,2,103,MCTS_v0,1.0,-1.0,MCTS_v0
-1243684465,Checkers,0,GAME_OVER,62,61,2,104,MCTS_v0,1.0,-1.0,MCTS_v0
822323795,Checkers,0,GAME_OVER,134,133,2,105,MCTS_v0,0.0,0.0,MCTS_v0
-1512667147,Checkers,0,GAME_OVER,55,54,2,106,MCTS_v0,-1.0,1.0,MCTS_v0
1467919029,Checkers,0,GAME_OVER,104,103,2,107,MCTS_v0,0.0,0.0,MCTS_v0
