Game #,Winner
0,0,1
1,0,2
2,0,0
3,0,3
4,1,7
5,0,0
6,0,3
7,0,0
8,0,0
9,0,3
10,0,3
11,0,0
12,0,1
13,0,1
14,0,3
15,0,2
16,0,1
17,0,0
18,0,1
19,0,2
20,0,0
21,0,2
22,0,2
23,0,2
24,0,3
25,0,0
26,0,4
27,0,0
28,0,1
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,1
35,0,0
36,0,1
37,0,2
38,0,0
39,0,0
40,0,3
41,0,4
42,0,0
43,0,0
44,1,3
45,0,0
46,0,0
47,0,1
48,0,1
49,0,3
50,0,2
51,0,0
52,0,1
53,0,2
54,0,3
55,0,3
56,0,1
57,0,0
58,0,0
59,0,1
60,0,2
61,0,0
62,1,4
63,0,0
64,0,2
65,0,2
66,0,0
67,0,3
68,1,8
69,0,1
70,1,3
71,0,4
72,0,0
73,0,0
74,0,1
75,0,1
76,0,1
77,0,3
78,0,4
79,0,0
80,0,2
81,0,1
82,0,1
83,0,0
84,0,1
85,0,0
86,0,0
87,0,3
88,0,1
89,0,2
90,0,0
91,0,0
92,1,2
93,0,3
94,0,0
95,1,8
96,0,1
97,1,5
98,1,8
99,0,1
